date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:45:05	32714/32714	---M--	200	added ('OK')	image/png	etag:%2266fb26d5-7fca%22	https://dawgs.run/assets/facebook.png	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/assets/facebook.png	(from https://dawgs.run/)
21:45:05	7448/7448	---M-Z	200	added ('OK')	text/html	etag:W/%2266fb26d5-1d18%22	https://dawgs.run/officers/responsibilities.html	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/officers/responsibilities.html	(from https://dawgs.run/join_us/)
21:45:06	7245/7245	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266fb26d5-1c4d%22	https://dawgs.run/js/route_maps.js	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/js/route_maps.js	(from https://dawgs.run/routes/)
21:45:07	693360/693360	---M--	200	added ('OK')	image/jpeg	etag:%2266fb26d5-a9470%22	https://dawgs.run/assets/cherry_blossoms.jpg	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/assets/cherry_blossoms.jpg	(from https://dawgs.run/join_us/)
21:45:11	713013/713013	---M--	200	added ('OK')	image/jpeg	etag:%2266fb26d5-ae135%22	https://dawgs.run/officers/img/jonathan_sarmiento.jpg	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/officers/img/jonathan_sarmiento.jpg	(from https://dawgs.run/officers/)
21:45:17	2156695/2156695	---M--	200	added ('OK')	image/png	etag:%2266fb26d5-20e897%22	https://dawgs.run/officers/img/mike_ramsay.png	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/officers/img/mike_ramsay.png	(from https://dawgs.run/officers/)
21:45:18	91829/91829	---M--	200	added ('OK')	image/jpeg	etag:%2266fb26d5-166b5%22	https://dawgs.run/officers/img/dean_bartolome.jpg	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/officers/img/dean_bartolome.jpg	(from https://dawgs.run/officers/)
21:45:18	29465/29465	---M--	200	added ('OK')	image/jpeg	etag:%2266fb26d5-7319%22	https://dawgs.run/officers/img/brandon_miller.jpg	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/officers/img/brandon_miller.jpg	(from https://dawgs.run/officers/)
21:45:20	2600067/2600067	---M--	200	added ('OK')	image/png	etag:%2266fb26d5-27ac83%22	https://dawgs.run/officers/img/john_meier.png	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/officers/img/john_meier.png	(from https://dawgs.run/officers/)
21:45:20	29346/29346	---M--	200	added ('OK')	image/jpeg	etag:%2266fb26d5-72a2%22	https://dawgs.run/officers/img/daniel_he.jpg	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/officers/img/daniel_he.jpg	(from https://dawgs.run/officers/)
21:45:21	2572850/2572850	---M--	200	added ('OK')	image/png	etag:%2266fb26d5-274232%22	https://dawgs.run/officers/img/sharon_gutierrez.png	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/officers/img/sharon_gutierrez.png	(from https://dawgs.run/officers/)
21:45:22	2047489/2047489	---M--	200	added ('OK')	image/png	etag:%2266fb26d5-1f3e01%22	https://dawgs.run/officers/img/emily_fieber.png	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/officers/img/emily_fieber.png	(from https://dawgs.run/officers/)
21:45:22	271590/271590	---M--	200	added ('OK')	image/jpeg	etag:%2266fb26d5-424e6%22	https://dawgs.run/officers/img/run_leaders/ken_masumoto.jpg	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/officers/img/run_leaders/ken_masumoto.jpg	(from https://dawgs.run/officers/)
21:45:24	1369764/1369764	---M--	200	added ('OK')	image/jpeg	etag:%2266fb26d5-14e6a4%22	https://dawgs.run/officers/img/jess_li.jpg	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/officers/img/jess_li.jpg	(from https://dawgs.run/officers/)
21:45:28	1369764/1369764	---M--	200	added ('OK')	image/jpeg	etag:%2266fb26d5-14e6a4%22	https://dawgs.run/officers/img/run_leaders/jess_li.jpg	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/officers/img/run_leaders/jess_li.jpg	(from https://dawgs.run/officers/)
21:45:31	2633977/2633977	---M--	200	added ('OK')	image/jpeg	etag:%2266fb26d5-2830f9%22	https://dawgs.run/officers/img/run_leaders/jeron_griffin.jpeg	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/officers/img/run_leaders/jeron_griffin.jpg	(from https://dawgs.run/officers/)
21:45:33	2879287/2879287	---M--	200	added ('OK')	image/jpeg	etag:%2266fb26d5-2bef37%22	https://dawgs.run/officers/img/run_leaders/mike_ramsay.jpeg	C:/My%20Web%20Sites/ODU%20RUN%20CLUB%20SITE/dawgs.run/officers/img/run_leaders/mike_ramsay.jpg	(from https://dawgs.run/officers/)
